id,speed
0,48.181828
1,47.73218
2,38.800465
3,31.73374
4,43.03615
5,28.066874
6,19.908037
7,49.792786
8,48.283962
9,29.640057
10,31.18885
11,22.673279
12,24.377014
13,24.9236
14,24.939201
15,39.880383
16,44.535664
17,48.528564
18,48.16171
19,48.617672
20,46.220768
21,43.632072
22,20.942112
23,28.973583
24,23.600382
25,19.732904
26,20.464256
27,20.55653
28,16.334038
29,12.421335
30,24.932436
31,47.825993
32,49.51857
33,28.03205
34,27.185595
35,21.617174
36,18.97766
37,19.68302
38,45.454517
39,39.85833
40,44.727432
41,48.24843
42,48.873184
43,45.212814
44,19.63433
45,18.094646
46,18.465742
47,9.451016
48,45.395206
49,47.15585
50,48.31858
51,23.29065
52,21.631441
53,19.832193
54,17.940737
55,18.039001
56,16.84333
57,16.569914
58,30.62201
59,35.42387
60,44.718872
61,42.839123
62,42.375084
63,43.000217
64,46.13685
65,48.109257
66,47.71229
67,46.838703
68,43.850838
69,26.698595
70,21.70644
71,19.486649
72,15.504266
73,16.706688
74,13.728737
75,6.336831
76,41.804245
77,36.171124
78,39.53004
79,47.706646
80,13.4591255
81,15.613096
82,19.877153
83,14.956285
84,16.958782
85,13.2866125
86,22.297194
87,36.489265
88,46.38971
89,40.761135
90,48.631107
91,47.695255
92,46.841015
93,46.02813
94,24.612211
95,13.348272
96,22.45846
97,12.592345
98,9.693503
99,19.703022
100,40.550636
101,47.50672
102,15.184738
103,18.388166
104,15.1250725
105,43.050083
106,34.119347
107,48.625706
108,43.90976
109,15.749173
110,8.593376
111,8.177813
112,20.24238
113,30.429623
114,30.335093
115,49.036762
116,48.416294
117,39.74033
118,26.567205
119,24.190737
120,20.998707
121,15.639835
122,34.818897
123,47.608883
124,47.035156
125,43.478294
126,42.101948
127,36.697
128,42.50897
129,32.457043
130,48.586697
131,47.403656
132,46.856483
133,28.282991
134,23.710617
135,24.173595
136,39.012512
137,47.485264
138,49.519382
139,47.866028
140,47.14469
141,44.977585
142,27.064978
143,14.8985
144,19.498081
145,17.725782
146,17.851906
147,49.047905
148,49.896847
149,47.370434
150,47.780197
151,15.787058
152,15.8513775
153,15.563299
154,8.726536
155,21.340015
156,35.679787
157,43.95276
158,39.869095
159,44.648285
160,48.732643
161,49.91643
162,48.359245
163,47.486504
164,43.929596
165,27.300293
166,14.803932
167,18.625166
168,17.921394
169,18.312458
170,12.846364
171,12.47517
172,45.575222
173,48.38484
174,43.845585
175,25.555138
176,20.595089
177,17.04423
178,17.154549
179,11.501907
180,46.130283
181,48.35127
182,49.10257
183,48.663292
184,40.29072
185,19.9293
186,19.273218
187,38.759674
188,31.670319
189,48.228207
190,41.389565
191,44.185337
192,37.01807
193,36.496426
194,36.56255
195,38.069004
196,38.236343
197,39.442677
198,38.947765
199,48.25807
200,46.65793
201,27.704826
202,24.26444
203,18.989424
204,17.222212
205,19.0824
206,39.159233
207,42.45046
208,48.95138
209,48.978077
210,47.447144
211,47.052742
212,27.328255
213,14.6544895
214,24.122906
215,22.44691
216,16.652824
217,23.654964
218,44.921455
219,48.01992
220,46.961918
221,45.03194
222,26.589245
223,16.869795
224,12.679883
225,24.035501
226,48.072178
227,48.75441
228,17.062653
229,24.757425
230,19.357334
231,19.358786
232,45.29936
233,48.373253
234,46.853664
235,20.913465
236,26.564318
237,22.961384
238,22.34701
239,42.75757
240,31.285292
241,34.26958
242,49.034023
243,49.80312
244,48.434097
245,48.33398
246,28.609577
247,23.296915
248,22.1498
249,21.495846
250,20.37403
251,31.450844
252,42.930706
253,32.08754
254,32.98997
255,46.67199
256,46.734966
257,45.718945
258,43.540497
259,40.88774
260,41.02135
261,37.848213
262,40.34059
263,43.808254
264,32.28866
265,43.47573
266,47.865585
267,44.804604
268,17.84415
269,21.439774
270,17.852993
271,17.96539
272,19.467537
273,14.852566
274,46.704353
275,47.59743
276,48.012188
277,47.565334
278,27.404318
279,14.782787
280,15.974798
281,22.380196
282,19.070143
283,16.407187
284,11.956687
285,12.002452
286,49.053326
287,48.427124
288,11.522463
289,16.252605
290,15.909443
291,10.3368635
292,9.39063
293,24.865751
294,46.47057
295,48.84892
296,48.34822
297,34.77926
298,21.775211
299,30.788404
300,22.60294
301,18.325981
302,22.78853
303,41.823963
304,40.99753
305,49.784386
306,48.739918
307,49.141045
308,45.710953
309,31.725939
310,17.980347
311,7.137614
312,41.682198
313,33.42286
314,37.846313
315,49.129482
316,47.19982
317,39.374138
318,32.6954
319,32.206104
320,45.02896
321,46.54435
322,47.007183
323,46.610306
324,45.202076
325,42.59325
326,43.890205
327,41.35018
328,42.121986
329,38.446445
330,37.95673
331,40.683685
332,42.34748
333,35.200638
334,33.49781
335,44.98104
336,47.336563
337,46.88143
338,14.476118
339,20.657381
340,21.169146
341,23.258509
342,44.053402
343,43.410133
344,48.248318
345,47.721718
346,47.752155
347,17.70587
348,37.071053
349,48.82626
350,48.064835
351,47.924477
352,31.000427
353,15.994935
